datetime,val0,temp,demand
9/30/13 06:28,6496.191,35,6493.937
9/30/13 06:29,6477.906,34,6496.191
9/30/13 06:30,6508.177,35,6477.906
9/30/13 06:31,6569.795,31,6508.177
9/30/13 06:32,6619.332,33,6569.795
9/30/13 06:33,6595.602,35,6619.332
9/30/13 06:34,6651.3,35,6595.602
9/30/13 06:35,6654.765,34,6651.3
9/30/13 06:36,6708.157,30,6654.765
9/30/13 06:37,6707.473,32,6708.157
9/30/13 06:38,6715.393,33,6707.473
9/30/13 06:39,6768.395,35,6715.393
9/30/13 06:40,6767.037,30,6768.395
9/30/13 06:41,6804.903,34,6767.037
9/30/13 06:42,6744.78,33,6804.903
9/30/13 06:43,6800.921,31,6744.78
9/30/13 06:44,6836.554,33,6800.921
9/30/13 06:45,6776.053,34,6836.554
9/30/13 06:46,6879.697,31,6776.053
9/30/13 06:47,6754.355,31,6879.697
9/30/13 06:48,6802.88,30,6754.355
9/30/13 06:49,6790.999,33,6802.88
9/30/13 06:50,6807.104,33,6790.999
9/30/13 06:51,6765.067,32,6807.104
9/30/13 06:52,6713.771,34,6765.067
9/30/13 06:53,6702.575,32,6713.771
9/30/13 06:54,6699.868,30,6702.575
9/30/13 06:55,6757.494,32,6699.868
9/30/13 06:56,6764.435,31,6757.494
9/30/13 06:57,6812.613,35,6764.435
9/30/13 06:58,6753.607,35,6812.613
9/30/13 06:59,6841.537,34,6753.607
9/30/13 07:00,6778.813,34,6841.537
9/30/13 07:01,6850.721,32,6778.813
9/30/13 07:02,6855.861,35,6850.721
9/30/13 07:03,6956.747,35,6855.861
9/30/13 07:04,6918.723,32,6956.747
9/30/13 07:05,6889.852,32,6918.723
9/30/13 07:06,6918.27,34,6889.852
9/30/13 07:07,6966.395,33,6918.27
9/30/13 07:08,6845.76,33,6966.395
9/30/13 07:09,6902.133,35,6845.76
9/30/13 07:10,6908.21,31,6902.133
9/30/13 07:11,6887.166,31,6908.21
9/30/13 07:12,6929.803,32,6887.166
9/30/13 07:13,6939.957,34,6929.803
9/30/13 07:14,6879.245,30,6939.957
9/30/13 07:15,6955.862,33,6879.245
9/30/13 07:16,6901.543,33,6955.862
9/30/13 07:17,6901.312,30,6901.543
9/30/13 07:18,6902.997,35,6901.312
9/30/13 07:19,6892.337,34,6902.997
9/30/13 07:20,6948.268,32,6892.337
9/30/13 07:21,6918.807,30,6948.268
9/30/13 07:22,6998.342,31,6918.807
9/30/13 07:23,6888.177,33,6998.342
9/30/13 07:24,6845.96,32,6888.177
9/30/13 07:25,6901.585,33,6845.96
9/30/13 07:26,6938.704,30,6901.585
9/30/13 07:27,6894.444,31,6938.704
9/30/13 07:28,6893.085,30,6894.444
9/30/13 07:29,6883.563,32,6893.085
9/30/13 07:30,6919.586,32,6883.563
9/30/13 07:31,6881.31,30,6919.586
9/30/13 07:32,6862.876,34,6881.31
9/30/13 07:33,6906.083,34,6862.876
9/30/13 07:34,6880.487,30,6906.083
9/30/13 07:35,6814.035,31,6880.487
9/30/13 07:36,6857.736,34,6814.035
9/30/13 07:37,6806.999,32,6857.736
9/30/13 07:38,6757.157,33,6806.999
9/30/13 07:39,6809.011,33,6757.157
9/30/13 07:40,6791.505,32,6809.011
9/30/13 07:41,6726.021,34,6791.505
9/30/13 07:42,6688.502,32,6726.021
9/30/13 07:43,6785.132,35,6688.502
9/30/13 07:44,6752.301,31,6785.132
9/30/13 07:45,6644.843,30,6752.301
9/30/13 07:46,6654.934,33,6644.843
9/30/13 07:47,6668.774,35,6654.934
9/30/13 07:48,6600.899,33,6668.774
9/30/13 07:49,6600.457,35,6600.899
9/30/13 07:50,6618.447,31,6600.457
9/30/13 07:51,6650.752,31,6618.447
9/30/13 07:52,6569.816,35,6650.752
9/30/13 07:53,6548.077,31,6569.816
9/30/13 07:54,6576.389,34,6548.077
9/30/13 07:55,6555.934,32,6576.389
9/30/13 07:56,6565.75,35,6555.934
9/30/13 07:57,6624.083,33,6565.75
9/30/13 07:58,6599.941,31,6624.083
9/30/13 07:59,6556.408,30,6599.941
9/30/13 08:00,6600.12,30,6556.408
9/30/13 08:01,6616.857,30,6600.12
9/30/13 08:02,6601.805,32,6616.857
9/30/13 08:03,6613.16,35,6601.805
9/30/13 08:04,6617.773,32,6613.16
9/30/13 08:05,6606.071,32,6617.773
9/30/13 08:06,6704.334,32,6606.071
9/30/13 08:07,6662.771,31,6704.334
9/30/13 08:08,6715.393,35,6662.771
9/30/13 08:09,6599.34,32,6715.393
9/30/13 08:10,6612.96,33,6599.34
9/30/13 08:11,6595.569,34,6612.96
9/30/13 08:12,6556.882,35,6595.569
9/30/13 08:13,6628.77,32,6556.882
9/30/13 08:14,6656.65,31,6628.77
9/30/13 08:15,6610.369,33,6656.65
9/30/13 08:16,6641.63,33,6610.369
9/30/13 08:17,6579.96,30,6641.63
9/30/13 08:18,6565.593,31,6579.96
9/30/13 08:19,6583.541,35,6565.593
9/30/13 08:20,6588.134,34,6583.541
